material_id,formula_pretty,nsites,composition,density,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,efermi,is_gap_direct,is_metal,cbm,vbm,is_magnetic,total_magnetization,total_magnetization_normalized_formula_units,num_unique_magnetic_sites
mp-2231172,MgAg6Mo2ClO7F3,20,Mg1 Ag6 Mo2 Cl1 O7 F3,5.297956634879247,-5.5262717425000005,-1.39486094625,0.2082636558333259,0.7471000000000001,2.05341848,False,False,2.8171,2.07,True,1.001649,1.001649,2.0
mp-1234308,MgAg4Te8(MoO12)2,39,Mg1 Ag4 Te8 Mo2 O24,5.546341663136759,-6.036094046410256,-1.4541889839743578,0.0650959258974372,1.8628,3.53792524,False,False,5.3034,3.4406,True,2.0161424,2.0161424,2.0
mp-27966,Ag2Mo2O7,22,Ag4 Mo4 O14,5.92560400502563,-7.145007251818182,-1.504732557803029,0.0,1.5567,1.46245526,True,False,3.1164,1.5597,False,0.0,0.0,0.0
mp-1233805,MgAg4Te8(MoO12)2,39,Mg1 Ag4 Te8 Mo2 O24,5.46875996550718,-6.022442408717948,-1.4450240612820515,0.0777565515064191,1.8628,3.53792524,False,False,5.3034,3.4406,,,,
mp-558550,Ag4Mo2Se3O16,100,Ag16 Mo8 Se12 O64,4.923147149080397,-6.1359531049,-1.2244729078479155,0.0,1.6559,2.72075121,True,False,2.725,1.0691,False,0.1901368,0.0475342,0.0
mp-1223057,LaAg(MoO4)2,12,La1 Ag1 Mo2 O8,5.662779874577867,-8.015912742499944,-2.2585498438888343,0.0,2.5972000000000004,2.51065146,False,False,5.1009,2.5037,False,0.0,0.0,0.0
mp-1190916,Ag2Te3Mo3O16,24,Ag2 Te3 Mo3 O16,5.23355103629832,-6.848712229999999,-1.5616721080555542,0.0107445409722206,2.0203,2.57216847,False,False,4.5013,2.481,False,0.0007571,0.0007571,0.0
mp-556429,Ag2Mo3SeO12,72,Ag8 Mo12 Se4 O48,4.799219392858115,-7.165785190694444,-1.5465684221209477,0.0,1.5519,1.35922503,False,False,2.8626,1.3107,False,0.0020834,0.00052085,0.0
mp-1205258,Ag2(MoO4)3,68,Ag8 Mo12 O48,4.629085242129484,-6.859115804705882,-1.1149987249019602,0.3508200728676458,0.9809,0.75110594,False,False,1.7318,0.7509,True,7.9996544,1.9999136,9.0
mp-1214988,AgMo6Cl13,40,Ag2 Mo12 Cl26,3.844758380734939,-13.91846949,-1.0299965173750023,0.0,2.3227,3.82068437,False,False,3.8209,1.4982,False,0.0,0.0,0.0
mp-35109,Ag(Mo3S4)2,15,Ag1 Mo6 S8,5.600475155494086,-16.848253925444446,-0.7104041626111136,0.0619968842222213,0.0,5.54309832,False,True,,,False,0.0319905,0.0319905,0.0
mp-680482,AgMo6Br13,40,Ag2 Mo12 Br26,4.7706564881761055,-18.276408579,-0.8386317612499994,0.0085230552500021,2.0137,1.1629445,False,False,3.1272,1.1135,False,0.0005926,0.0002963,0.0
